id,prospettiva,categoria,domanda,risposta,citazioni
158,Lavoratore,Segnaletica,Come riconosco un segnale di avvertimento?,Triangolo giallo con bordo nero e simbolo nero (es. rischio scivolamento).,fileciteturn3file0
159,Lavoratore,Segnaletica,Come riconosco un segnale di avvertimento?,Triangolo giallo con bordo nero e simbolo nero (es. rischio scivolamento).,fileciteturn3file0
160,Lavoratore,Segnaletica,Come riconosco un segnale di avvertimento?,Triangolo giallo con bordo nero e simbolo nero (es. rischio scivolamento).,fileciteturn3file0
161,Lavoratore,Segnaletica,Come riconosco un segnale di avvertimento?,Triangolo giallo con bordo nero e simbolo nero (es. rischio scivolamento).,fileciteturn3file0
162,Lavoratore,Segnaletica,Come riconosco un segnale di avvertimento?,Triangolo giallo con bordo nero e simbolo nero (es. rischio scivolamento).,fileciteturn3file0
163,Lavoratore,Segnaletica,Come riconosco un segnale di prescrizione?,Cerchio azzurro con simbolo bianco (es. obbligo casco/guanti).,fileciteturn3file0
164,Lavoratore,Segnaletica,Come riconosco un segnale di prescrizione?,Cerchio azzurro con simbolo bianco (es. obbligo casco/guanti).,fileciteturn3file0
165,Lavoratore,Segnaletica,Come riconosco un segnale di prescrizione?,Cerchio azzurro con simbolo bianco (es. obbligo casco/guanti).,fileciteturn3file0
166,Lavoratore,Segnaletica,Come riconosco un segnale di prescrizione?,Cerchio azzurro con simbolo bianco (es. obbligo casco/guanti).,fileciteturn3file0
167,Lavoratore,Segnaletica,Come riconosco un segnale di prescrizione?,Cerchio azzurro con simbolo bianco (es. obbligo casco/guanti).,fileciteturn3file0
168,Lavoratore,Segnaletica,Come riconosco un segnale di prescrizione?,Cerchio azzurro con simbolo bianco (es. obbligo casco/guanti).,fileciteturn3file0
169,Lavoratore,Segnaletica,Come riconosco un segnale di emergenza/salvataggio?,Quadrato/rettangolo verde con simbolo bianco (es. uscita di emergenza).,fileciteturn3file0
170,Lavoratore,Segnaletica,Come riconosco un segnale di emergenza/salvataggio?,Quadrato/rettangolo verde con simbolo bianco (es. uscita di emergenza).,fileciteturn3file0
171,Lavoratore,Segnaletica,Come riconosco un segnale di emergenza/salvataggio?,Quadrato/rettangolo verde con simbolo bianco (es. uscita di emergenza).,fileciteturn3file0
172,Lavoratore,Segnaletica,Come riconosco un segnale di emergenza/salvataggio?,Quadrato/rettangolo verde con simbolo bianco (es. uscita di emergenza).,fileciteturn3file0
173,Lavoratore,Segnaletica,Come riconosco un segnale di emergenza/salvataggio?,Quadrato/rettangolo verde con simbolo bianco (es. uscita di emergenza).,fileciteturn3file0
174,Lavoratore,Segnaletica,Come riconosco un segnale di emergenza/salvataggio?,Quadrato/rettangolo verde con simbolo bianco (es. uscita di emergenza).,fileciteturn3file0
175,Lavoratore,Segnaletica,Come riconosco un segnale antincendio?,Quadrato/rettangolo rosso con simbolo bianco (es. estintore).,fileciteturn3file0
176,Lavoratore,Segnaletica,Come riconosco un segnale antincendio?,Quadrato/rettangolo rosso con simbolo bianco (es. estintore).,fileciteturn3file0
177,Lavoratore,Segnaletica,Come riconosco un segnale antincendio?,Quadrato/rettangolo rosso con simbolo bianco (es. estintore).,fileciteturn3file0
178,Lavoratore,Segnaletica,Come riconosco un segnale antincendio?,Quadrato/rettangolo rosso con simbolo bianco (es. estintore).,fileciteturn3file0
179,Lavoratore,Segnaletica,Come riconosco un segnale antincendio?,Quadrato/rettangolo rosso con simbolo bianco (es. estintore).,fileciteturn3file0
180,Lavoratore,Segnaletica,Come riconosco un segnale antincendio?,Quadrato/rettangolo rosso con simbolo bianco (es. estintore).,fileciteturn3file0
181,Azienda,Segnaletica,Quali requisiti devono avere i cartelli?,"Materiali resistenti, simboli/pittogrammi semplici, testi brevi e chiari; rimozione quando cessa il rischio.",fileciteturn3file0
182,Azienda,Segnaletica,Quali requisiti devono avere i cartelli?,"Materiali resistenti, simboli/pittogrammi semplici, testi brevi e chiari; rimozione quando cessa il rischio.",fileciteturn3file0
183,Azienda,Segnaletica,Quali requisiti devono avere i cartelli?,"Materiali resistenti, simboli/pittogrammi semplici, testi brevi e chiari; rimozione quando cessa il rischio.",fileciteturn3file0
184,Azienda,Segnaletica,Quali requisiti devono avere i cartelli?,"Materiali resistenti, simboli/pittogrammi semplici, testi brevi e chiari; rimozione quando cessa il rischio.",fileciteturn3file0
185,Azienda,Segnaletica,Quali requisiti devono avere i cartelli?,"Materiali resistenti, simboli/pittogrammi semplici, testi brevi e chiari; rimozione quando cessa il rischio.",fileciteturn3file0
186,Azienda,Segnaletica,Quali requisiti devono avere i cartelli?,"Materiali resistenti, simboli/pittogrammi semplici, testi brevi e chiari; rimozione quando cessa il rischio.",fileciteturn3file0
187,Lavoratore,MMC – Tecnica,Dove posizionare i piedi durante il sollevamento?,"A circa 20 cm l’uno dall’altro, uno leggermente avanzato per stabilità.",fileciteturn3file0
188,Lavoratore,MMC – Tecnica,Dove posizionare i piedi durante il sollevamento?,"A circa 20 cm l’uno dall’altro, uno leggermente avanzato per stabilità.",fileciteturn3file0
189,Lavoratore,MMC – Tecnica,Dove posizionare i piedi durante il sollevamento?,"A circa 20 cm l’uno dall’altro, uno leggermente avanzato per stabilità.",fileciteturn3file0
190,Lavoratore,MMC – Tecnica,Dove posizionare i piedi durante il sollevamento?,"A circa 20 cm l’uno dall’altro, uno leggermente avanzato per stabilità.",fileciteturn3file0
191,Lavoratore,MMC – Tecnica,Dove posizionare i piedi durante il sollevamento?,"A circa 20 cm l’uno dall’altro, uno leggermente avanzato per stabilità.",fileciteturn3file0
192,Lavoratore,MMC – Tecnica,Dove posizionare i piedi durante il sollevamento?,"A circa 20 cm l’uno dall’altro, uno leggermente avanzato per stabilità.",fileciteturn3file0
193,Lavoratore,MMC – Tecnica,Dove posizionare i piedi durante il sollevamento?,"A circa 20 cm l’uno dall’altro, uno leggermente avanzato per stabilità.",fileciteturn3file0
194,Lavoratore,MMC – Tecnica,Dove posizionare i piedi durante il sollevamento?,"A circa 20 cm l’uno dall’altro, uno leggermente avanzato per stabilità.",fileciteturn3file0
195,Azienda,MMC – Ambiente,Quali condizioni ambientali aumentano il rischio?,"Spazi ristretti, pavimenti scivolosi/dislivelli, microclima inadeguato.",fileciteturn3file0
196,Azienda,MMC – Ambiente,Quali condizioni ambientali aumentano il rischio?,"Spazi ristretti, pavimenti scivolosi/dislivelli, microclima inadeguato.",fileciteturn3file0
197,Azienda,MMC – Ambiente,Quali condizioni ambientali aumentano il rischio?,"Spazi ristretti, pavimenti scivolosi/dislivelli, microclima inadeguato.",fileciteturn3file0
198,Azienda,MMC – Ambiente,Quali condizioni ambientali aumentano il rischio?,"Spazi ristretti, pavimenti scivolosi/dislivelli, microclima inadeguato.",fileciteturn3file0
199,Azienda,MMC – Ambiente,Quali condizioni ambientali aumentano il rischio?,"Spazi ristretti, pavimenti scivolosi/dislivelli, microclima inadeguato.",fileciteturn3file0
200,Azienda,MMC – Ambiente,Quali condizioni ambientali aumentano il rischio?,"Spazi ristretti, pavimenti scivolosi/dislivelli, microclima inadeguato.",fileciteturn3file0
201,Azienda,MMC – Ambiente,Quali condizioni ambientali aumentano il rischio?,"Spazi ristretti, pavimenti scivolosi/dislivelli, microclima inadeguato.",fileciteturn3file0
202,Azienda,MMC – Ambiente,Quali condizioni ambientali aumentano il rischio?,"Spazi ristretti, pavimenti scivolosi/dislivelli, microclima inadeguato.",fileciteturn3file0
203,Azienda,MMC – Fattori individuali,Quali fattori personali considerare?,"Età, sesso, corporatura, patologie, idoneità, formazione e attrezzature/indumenti adeguati.",fileciteturn3file0
204,Azienda,MMC – Fattori individuali,Quali fattori personali considerare?,"Età, sesso, corporatura, patologie, idoneità, formazione e attrezzature/indumenti adeguati.",fileciteturn3file0
205,Azienda,MMC – Fattori individuali,Quali fattori personali considerare?,"Età, sesso, corporatura, patologie, idoneità, formazione e attrezzature/indumenti adeguati.",fileciteturn3file0
206,Azienda,MMC – Fattori individuali,Quali fattori personali considerare?,"Età, sesso, corporatura, patologie, idoneità, formazione e attrezzature/indumenti adeguati.",fileciteturn3file0
207,Azienda,MMC – Fattori individuali,Quali fattori personali considerare?,"Età, sesso, corporatura, patologie, idoneità, formazione e attrezzature/indumenti adeguati.",fileciteturn3file0
208,Azienda,MMC – Fattori individuali,Quali fattori personali considerare?,"Età, sesso, corporatura, patologie, idoneità, formazione e attrezzature/indumenti adeguati.",fileciteturn3file0
209,Azienda,MMC – Fattori individuali,Quali fattori personali considerare?,"Età, sesso, corporatura, patologie, idoneità, formazione e attrezzature/indumenti adeguati.",fileciteturn3file0
210,Azienda,MMC – Fattori individuali,Quali fattori personali considerare?,"Età, sesso, corporatura, patologie, idoneità, formazione e attrezzature/indumenti adeguati.",fileciteturn3file0
211,Lavoratore,VDT – Postazione,Come regolare tastiera e mouse?,Sul medesimo piano con polsi/avambracci appoggiati; gomiti a 90°–100°.,fileciteturn3file0
212,Lavoratore,VDT – Postazione,Come regolare tastiera e mouse?,Sul medesimo piano con polsi/avambracci appoggiati; gomiti a 90°–100°.,fileciteturn3file0
213,Lavoratore,VDT – Postazione,Come regolare tastiera e mouse?,Sul medesimo piano con polsi/avambracci appoggiati; gomiti a 90°–100°.,fileciteturn3file0
214,Lavoratore,VDT – Postazione,Come regolare tastiera e mouse?,Sul medesimo piano con polsi/avambracci appoggiati; gomiti a 90°–100°.,fileciteturn3file0
215,Lavoratore,VDT – Postazione,Come regolare tastiera e mouse?,Sul medesimo piano con polsi/avambracci appoggiati; gomiti a 90°–100°.,fileciteturn3file0
216,Lavoratore,VDT – Postazione,Come regolare tastiera e mouse?,Sul medesimo piano con polsi/avambracci appoggiati; gomiti a 90°–100°.,fileciteturn3file0
217,Lavoratore,VDT – Postazione,Come regolare tastiera e mouse?,Sul medesimo piano con polsi/avambracci appoggiati; gomiti a 90°–100°.,fileciteturn3file0
218,Lavoratore,VDT – Postazione,Come regolare tastiera e mouse?,Sul medesimo piano con polsi/avambracci appoggiati; gomiti a 90°–100°.,fileciteturn3file0
219,Azienda,VDT – Illuminazione,Come evitare riflessi sullo schermo?,Posizionare lo schermo perpendicolare alle finestre e usare superfici opache.,fileciteturn3file0
220,Azienda,VDT – Illuminazione,Come evitare riflessi sullo schermo?,Posizionare lo schermo perpendicolare alle finestre e usare superfici opache.,fileciteturn3file0
221,Azienda,VDT – Illuminazione,Come evitare riflessi sullo schermo?,Posizionare lo schermo perpendicolare alle finestre e usare superfici opache.,fileciteturn3file0
222,Azienda,VDT – Illuminazione,Come evitare riflessi sullo schermo?,Posizionare lo schermo perpendicolare alle finestre e usare superfici opache.,fileciteturn3file0
223,Azienda,VDT – Illuminazione,Come evitare riflessi sullo schermo?,Posizionare lo schermo perpendicolare alle finestre e usare superfici opache.,fileciteturn3file0
224,Azienda,VDT – Illuminazione,Come evitare riflessi sullo schermo?,Posizionare lo schermo perpendicolare alle finestre e usare superfici opache.,fileciteturn3file0
225,Azienda,VDT – Illuminazione,Come evitare riflessi sullo schermo?,Posizionare lo schermo perpendicolare alle finestre e usare superfici opache.,fileciteturn3file0
226,Azienda,VDT – Illuminazione,Come evitare riflessi sullo schermo?,Posizionare lo schermo perpendicolare alle finestre e usare superfici opache.,fileciteturn3file0
227,Lavoratore,Rumore – DPI,Quando devo indossare le cuffie/tappi?,Quando l’esposizione può superare i valori d’azione o per indicazione aziendale.,fileciteturn3file0
228,Lavoratore,Rumore – DPI,Quando devo indossare le cuffie/tappi?,Quando l’esposizione può superare i valori d’azione o per indicazione aziendale.,fileciteturn3file0
229,Lavoratore,Rumore – DPI,Quando devo indossare le cuffie/tappi?,Quando l’esposizione può superare i valori d’azione o per indicazione aziendale.,fileciteturn3file0
230,Lavoratore,Rumore – DPI,Quando devo indossare le cuffie/tappi?,Quando l’esposizione può superare i valori d’azione o per indicazione aziendale.,fileciteturn3file0
231,Lavoratore,Rumore – DPI,Quando devo indossare le cuffie/tappi?,Quando l’esposizione può superare i valori d’azione o per indicazione aziendale.,fileciteturn3file0
232,Lavoratore,Rumore – DPI,Quando devo indossare le cuffie/tappi?,Quando l’esposizione può superare i valori d’azione o per indicazione aziendale.,fileciteturn3file0
233,Lavoratore,Rumore – DPI,Quando devo indossare le cuffie/tappi?,Quando l’esposizione può superare i valori d’azione o per indicazione aziendale.,fileciteturn3file0
234,Lavoratore,Rumore – DPI,Quando devo indossare le cuffie/tappi?,Quando l’esposizione può superare i valori d’azione o per indicazione aziendale.,fileciteturn3file0
235,Azienda,Rumore – Prevenzione,Qual è l’ordine delle misure di prevenzione?,"Prima riduzione alla fonte/ingegneria, poi organizzazione, infine DPI uditivi.",fileciteturn3file0
236,Azienda,Rumore – Prevenzione,Qual è l’ordine delle misure di prevenzione?,"Prima riduzione alla fonte/ingegneria, poi organizzazione, infine DPI uditivi.",fileciteturn3file0
237,Azienda,Rumore – Prevenzione,Qual è l’ordine delle misure di prevenzione?,"Prima riduzione alla fonte/ingegneria, poi organizzazione, infine DPI uditivi.",fileciteturn3file0
238,Azienda,Rumore – Prevenzione,Qual è l’ordine delle misure di prevenzione?,"Prima riduzione alla fonte/ingegneria, poi organizzazione, infine DPI uditivi.",fileciteturn3file0
239,Azienda,Rumore – Prevenzione,Qual è l’ordine delle misure di prevenzione?,"Prima riduzione alla fonte/ingegneria, poi organizzazione, infine DPI uditivi.",fileciteturn3file0
240,Azienda,Rumore – Prevenzione,Qual è l’ordine delle misure di prevenzione?,"Prima riduzione alla fonte/ingegneria, poi organizzazione, infine DPI uditivi.",fileciteturn3file0
241,Azienda,Rumore – Prevenzione,Qual è l’ordine delle misure di prevenzione?,"Prima riduzione alla fonte/ingegneria, poi organizzazione, infine DPI uditivi.",fileciteturn3file0
242,Azienda,Rumore – Prevenzione,Qual è l’ordine delle misure di prevenzione?,"Prima riduzione alla fonte/ingegneria, poi organizzazione, infine DPI uditivi.",fileciteturn3file0
243,Lavoratore,Scenario – Aggiornamento,Ti propongono un convegno di 2 ore sulla sicurezza: vale come aggiornamento?,"Sì, entro un terzo del monte ore e con verifica finale.",fileciteturn3file0
244,Lavoratore,Scenario – Aggiornamento,Ti propongono un convegno di 2 ore sulla sicurezza: vale come aggiornamento?,"Sì, entro un terzo del monte ore e con verifica finale.",fileciteturn3file0
245,Lavoratore,Scenario – Aggiornamento,Ti propongono un convegno di 2 ore sulla sicurezza: vale come aggiornamento?,"Sì, entro un terzo del monte ore e con verifica finale.",fileciteturn3file0
246,Lavoratore,Scenario – Aggiornamento,Ti propongono un convegno di 2 ore sulla sicurezza: vale come aggiornamento?,"Sì, entro un terzo del monte ore e con verifica finale.",fileciteturn3file0
247,Lavoratore,Scenario – Aggiornamento,Ti propongono un convegno di 2 ore sulla sicurezza: vale come aggiornamento?,"Sì, entro un terzo del monte ore e con verifica finale.",fileciteturn3file0
248,Lavoratore,Scenario – Aggiornamento,Ti propongono un convegno di 2 ore sulla sicurezza: vale come aggiornamento?,"Sì, entro un terzo del monte ore e con verifica finale.",fileciteturn3file0
249,Azienda,Scenario – Scale,Una scala appoggia su terreno irregolare: che fai?,"Metti in sicurezza la base, scegli appoggio regolare o usa altra attrezzatura idonea.",fileciteturn3file0
250,Azienda,Scenario – Scale,Una scala appoggia su terreno irregolare: che fai?,"Metti in sicurezza la base, scegli appoggio regolare o usa altra attrezzatura idonea.",fileciteturn3file0
251,Azienda,Scenario – Scale,Una scala appoggia su terreno irregolare: che fai?,"Metti in sicurezza la base, scegli appoggio regolare o usa altra attrezzatura idonea.",fileciteturn3file0
252,Azienda,Scenario – Scale,Una scala appoggia su terreno irregolare: che fai?,"Metti in sicurezza la base, scegli appoggio regolare o usa altra attrezzatura idonea.",fileciteturn3file0
253,Azienda,Scenario – Scale,Una scala appoggia su terreno irregolare: che fai?,"Metti in sicurezza la base, scegli appoggio regolare o usa altra attrezzatura idonea.",fileciteturn3file0
254,Azienda,Scenario – Scale,Una scala appoggia su terreno irregolare: che fai?,"Metti in sicurezza la base, scegli appoggio regolare o usa altra attrezzatura idonea.",fileciteturn3file0
255,Lavoratore,Scenario – DPI,L’imbracatura ha etichetta illeggibile: cosa fai?,Sospendi l’uso e richiedi sostituzione/controllo.,fileciteturn3file0
256,Lavoratore,Scenario – DPI,L’imbracatura ha etichetta illeggibile: cosa fai?,Sospendi l’uso e richiedi sostituzione/controllo.,fileciteturn3file0
257,Lavoratore,Scenario – DPI,L’imbracatura ha etichetta illeggibile: cosa fai?,Sospendi l’uso e richiedi sostituzione/controllo.,fileciteturn3file0
258,Lavoratore,Scenario – DPI,L’imbracatura ha etichetta illeggibile: cosa fai?,Sospendi l’uso e richiedi sostituzione/controllo.,fileciteturn3file0
259,Lavoratore,Scenario – DPI,L’imbracatura ha etichetta illeggibile: cosa fai?,Sospendi l’uso e richiedi sostituzione/controllo.,fileciteturn3file0
260,Lavoratore,Scenario – DPI,L’imbracatura ha etichetta illeggibile: cosa fai?,Sospendi l’uso e richiedi sostituzione/controllo.,fileciteturn3file0
261,Azienda,Scenario – VDT,Un addetto VDT supera 20 ore/settimana: cosa attivare?,Sorveglianza sanitaria e verifiche ergonomiche della postazione.,fileciteturn3file0
262,Azienda,Scenario – VDT,Un addetto VDT supera 20 ore/settimana: cosa attivare?,Sorveglianza sanitaria e verifiche ergonomiche della postazione.,fileciteturn3file0
263,Azienda,Scenario – VDT,Un addetto VDT supera 20 ore/settimana: cosa attivare?,Sorveglianza sanitaria e verifiche ergonomiche della postazione.,fileciteturn3file0
264,Azienda,Scenario – VDT,Un addetto VDT supera 20 ore/settimana: cosa attivare?,Sorveglianza sanitaria e verifiche ergonomiche della postazione.,fileciteturn3file0
265,Azienda,Scenario – VDT,Un addetto VDT supera 20 ore/settimana: cosa attivare?,Sorveglianza sanitaria e verifiche ergonomiche della postazione.,fileciteturn3file0
266,Azienda,Scenario – VDT,Un addetto VDT supera 20 ore/settimana: cosa attivare?,Sorveglianza sanitaria e verifiche ergonomiche della postazione.,fileciteturn3file0
267,Lavoratore,Scenario – Rumore,Avverti acufeni a fine turno: come ti comporti?,Segnala al preposto/medico competente e usa correttamente i DPI uditivi.,fileciteturn3file0
268,Lavoratore,Scenario – Rumore,Avverti acufeni a fine turno: come ti comporti?,Segnala al preposto/medico competente e usa correttamente i DPI uditivi.,fileciteturn3file0
269,Lavoratore,Scenario – Rumore,Avverti acufeni a fine turno: come ti comporti?,Segnala al preposto/medico competente e usa correttamente i DPI uditivi.,fileciteturn3file0
270,Lavoratore,Scenario – Rumore,Avverti acufeni a fine turno: come ti comporti?,Segnala al preposto/medico competente e usa correttamente i DPI uditivi.,fileciteturn3file0
271,Lavoratore,Scenario – Rumore,Avverti acufeni a fine turno: come ti comporti?,Segnala al preposto/medico competente e usa correttamente i DPI uditivi.,fileciteturn3file0
272,Lavoratore,Scenario – Rumore,Avverti acufeni a fine turno: come ti comporti?,Segnala al preposto/medico competente e usa correttamente i DPI uditivi.,fileciteturn3file0
273,Lavoratore,Aggiornamento formazione,L’aggiornamento specifico riguarda rischi e procedure del mio reparto?,Sì: è mirato e settoriale sui rischi della mansione.,fileciteturn3file0
274,Azienda,Segnaletica,Come garantire che i segnali siano compresi da tutti?,Formazione/induzione e uso di pittogrammi standard facilmente interpretabili.,fileciteturn3file0
275,Lavoratore,DPI,Come verificare la compatibilità di più DPI indossati insieme?,Devono essere compatibili e mantenere efficacia simultanea secondo le istruzioni.,fileciteturn3file0
276,Azienda,Attrezzature di lavoro,Chi può effettuare la manutenzione di attrezzature a rischio elevato?,Solo personale qualificato e specificamente incaricato.,fileciteturn3file0
277,Lavoratore,MMC – Tecnica,Perché il carico deve stare vicino al corpo?,Per ridurre il momento torcente sulla colonna e lo sforzo muscolare.,fileciteturn3file0
278,Lavoratore,Aggiornamento formazione,L’aggiornamento specifico riguarda rischi e procedure del mio reparto?,Sì: è mirato e settoriale sui rischi della mansione.,fileciteturn3file0
279,Azienda,Segnaletica,Come garantire che i segnali siano compresi da tutti?,Formazione/induzione e uso di pittogrammi standard facilmente interpretabili.,fileciteturn3file0
280,Lavoratore,DPI,Come verificare la compatibilità di più DPI indossati insieme?,Devono essere compatibili e mantenere efficacia simultanea secondo le istruzioni.,fileciteturn3file0
281,Azienda,Attrezzature di lavoro,Chi può effettuare la manutenzione di attrezzature a rischio elevato?,Solo personale qualificato e specificamente incaricato.,fileciteturn3file0
282,Lavoratore,MMC – Tecnica,Perché il carico deve stare vicino al corpo?,Per ridurre il momento torcente sulla colonna e lo sforzo muscolare.,fileciteturn3file0
283,Lavoratore,Aggiornamento formazione,L’aggiornamento specifico riguarda rischi e procedure del mio reparto?,Sì: è mirato e settoriale sui rischi della mansione.,fileciteturn3file0
284,Azienda,Segnaletica,Come garantire che i segnali siano compresi da tutti?,Formazione/induzione e uso di pittogrammi standard facilmente interpretabili.,fileciteturn3file0
285,Lavoratore,DPI,Come verificare la compatibilità di più DPI indossati insieme?,Devono essere compatibili e mantenere efficacia simultanea secondo le istruzioni.,fileciteturn3file0
286,Azienda,Attrezzature di lavoro,Chi può effettuare la manutenzione di attrezzature a rischio elevato?,Solo personale qualificato e specificamente incaricato.,fileciteturn3file0
287,Lavoratore,MMC – Tecnica,Perché il carico deve stare vicino al corpo?,Per ridurre il momento torcente sulla colonna e lo sforzo muscolare.,fileciteturn3file0
288,Lavoratore,Aggiornamento formazione,L’aggiornamento specifico riguarda rischi e procedure del mio reparto?,Sì: è mirato e settoriale sui rischi della mansione.,fileciteturn3file0
289,Azienda,Segnaletica,Come garantire che i segnali siano compresi da tutti?,Formazione/induzione e uso di pittogrammi standard facilmente interpretabili.,fileciteturn3file0
290,Lavoratore,DPI,Come verificare la compatibilità di più DPI indossati insieme?,Devono essere compatibili e mantenere efficacia simultanea secondo le istruzioni.,fileciteturn3file0
291,Azienda,Attrezzature di lavoro,Chi può effettuare la manutenzione di attrezzature a rischio elevato?,Solo personale qualificato e specificamente incaricato.,fileciteturn3file0
292,Lavoratore,MMC – Tecnica,Perché il carico deve stare vicino al corpo?,Per ridurre il momento torcente sulla colonna e lo sforzo muscolare.,fileciteturn3file0
293,Lavoratore,Aggiornamento formazione,L’aggiornamento specifico riguarda rischi e procedure del mio reparto?,Sì: è mirato e settoriale sui rischi della mansione.,fileciteturn3file0
294,Azienda,Segnaletica,Come garantire che i segnali siano compresi da tutti?,Formazione/induzione e uso di pittogrammi standard facilmente interpretabili.,fileciteturn3file0
295,Lavoratore,DPI,Come verificare la compatibilità di più DPI indossati insieme?,Devono essere compatibili e mantenere efficacia simultanea secondo le istruzioni.,fileciteturn3file0
296,Azienda,Attrezzature di lavoro,Chi può effettuare la manutenzione di attrezzature a rischio elevato?,Solo personale qualificato e specificamente incaricato.,fileciteturn3file0
297,Lavoratore,MMC – Tecnica,Perché il carico deve stare vicino al corpo?,Per ridurre il momento torcente sulla colonna e lo sforzo muscolare.,fileciteturn3file0
298,Lavoratore,Aggiornamento formazione,L’aggiornamento specifico riguarda rischi e procedure del mio reparto?,Sì: è mirato e settoriale sui rischi della mansione.,fileciteturn3file0
299,Azienda,Segnaletica,Come garantire che i segnali siano compresi da tutti?,Formazione/induzione e uso di pittogrammi standard facilmente interpretabili.,fileciteturn3file0
300,Lavoratore,DPI,Come verificare la compatibilità di più DPI indossati insieme?,Devono essere compatibili e mantenere efficacia simultanea secondo le istruzioni.,fileciteturn3file0
301,Azienda,Attrezzature di lavoro,Chi può effettuare la manutenzione di attrezzature a rischio elevato?,Solo personale qualificato e specificamente incaricato.,fileciteturn3file0
302,Lavoratore,MMC – Tecnica,Perché il carico deve stare vicino al corpo?,Per ridurre il momento torcente sulla colonna e lo sforzo muscolare.,fileciteturn3file0
303,Lavoratore,Aggiornamento formazione,L’aggiornamento specifico riguarda rischi e procedure del mio reparto?,Sì: è mirato e settoriale sui rischi della mansione.,fileciteturn3file0
304,Azienda,Segnaletica,Come garantire che i segnali siano compresi da tutti?,Formazione/induzione e uso di pittogrammi standard facilmente interpretabili.,fileciteturn3file0
305,Lavoratore,DPI,Come verificare la compatibilità di più DPI indossati insieme?,Devono essere compatibili e mantenere efficacia simultanea secondo le istruzioni.,fileciteturn3file0
306,Azienda,Attrezzature di lavoro,Chi può effettuare la manutenzione di attrezzature a rischio elevato?,Solo personale qualificato e specificamente incaricato.,fileciteturn3file0
307,Lavoratore,MMC – Tecnica,Perché il carico deve stare vicino al corpo?,Per ridurre il momento torcente sulla colonna e lo sforzo muscolare.,fileciteturn3file0
308,Lavoratore,Aggiornamento formazione,L’aggiornamento specifico riguarda rischi e procedure del mio reparto?,Sì: è mirato e settoriale sui rischi della mansione.,fileciteturn3file0
309,Azienda,Segnaletica,Come garantire che i segnali siano compresi da tutti?,Formazione/induzione e uso di pittogrammi standard facilmente interpretabili.,fileciteturn3file0
310,Lavoratore,DPI,Come verificare la compatibilità di più DPI indossati insieme?,Devono essere compatibili e mantenere efficacia simultanea secondo le istruzioni.,fileciteturn3file0
311,Azienda,Attrezzature di lavoro,Chi può effettuare la manutenzione di attrezzature a rischio elevato?,Solo personale qualificato e specificamente incaricato.,fileciteturn3file0
312,Lavoratore,MMC – Tecnica,Perché il carico deve stare vicino al corpo?,Per ridurre il momento torcente sulla colonna e lo sforzo muscolare.,fileciteturn3file0
313,Lavoratore,Aggiornamento formazione,L’aggiornamento specifico riguarda rischi e procedure del mio reparto?,Sì: è mirato e settoriale sui rischi della mansione.,fileciteturn3file0
314,Azienda,Segnaletica,Come garantire che i segnali siano compresi da tutti?,Formazione/induzione e uso di pittogrammi standard facilmente interpretabili.,fileciteturn3file0
315,Lavoratore,DPI,Come verificare la compatibilità di più DPI indossati insieme?,Devono essere compatibili e mantenere efficacia simultanea secondo le istruzioni.,fileciteturn3file0
316,Azienda,Attrezzature di lavoro,Chi può effettuare la manutenzione di attrezzature a rischio elevato?,Solo personale qualificato e specificamente incaricato.,fileciteturn3file0
317,Lavoratore,MMC – Tecnica,Perché il carico deve stare vicino al corpo?,Per ridurre il momento torcente sulla colonna e lo sforzo muscolare.,fileciteturn3file0
318,Lavoratore,Aggiornamento formazione,L’aggiornamento specifico riguarda rischi e procedure del mio reparto?,Sì: è mirato e settoriale sui rischi della mansione.,fileciteturn3file0
319,Azienda,Segnaletica,Come garantire che i segnali siano compresi da tutti?,Formazione/induzione e uso di pittogrammi standard facilmente interpretabili.,fileciteturn3file0
320,Lavoratore,DPI,Come verificare la compatibilità di più DPI indossati insieme?,Devono essere compatibili e mantenere efficacia simultanea secondo le istruzioni.,fileciteturn3file0
321,Azienda,Attrezzature di lavoro,Chi può effettuare la manutenzione di attrezzature a rischio elevato?,Solo personale qualificato e specificamente incaricato.,fileciteturn3file0
322,Lavoratore,MMC – Tecnica,Perché il carico deve stare vicino al corpo?,Per ridurre il momento torcente sulla colonna e lo sforzo muscolare.,fileciteturn3file0
323,Lavoratore,Aggiornamento formazione,L’aggiornamento specifico riguarda rischi e procedure del mio reparto?,Sì: è mirato e settoriale sui rischi della mansione.,fileciteturn3file0
324,Azienda,Segnaletica,Come garantire che i segnali siano compresi da tutti?,Formazione/induzione e uso di pittogrammi standard facilmente interpretabili.,fileciteturn3file0
325,Lavoratore,DPI,Come verificare la compatibilità di più DPI indossati insieme?,Devono essere compatibili e mantenere efficacia simultanea secondo le istruzioni.,fileciteturn3file0
326,Azienda,Attrezzature di lavoro,Chi può effettuare la manutenzione di attrezzature a rischio elevato?,Solo personale qualificato e specificamente incaricato.,fileciteturn3file0
327,Lavoratore,MMC – Tecnica,Perché il carico deve stare vicino al corpo?,Per ridurre il momento torcente sulla colonna e lo sforzo muscolare.,fileciteturn3file0
328,Lavoratore,Aggiornamento formazione,L’aggiornamento specifico riguarda rischi e procedure del mio reparto?,Sì: è mirato e settoriale sui rischi della mansione.,fileciteturn3file0
